,matchID,team1,score1,team2,score2,event,url
41,2388924,Gentle Mates,2.0,9INE,1.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388924/gentle-mates-vs-9ine-iem-rio-2026-closed-qualifier
42,2388923,HOTU,2.0,BetBoom,0.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388923/hotu-vs-betboom-iem-rio-2026-closed-qualifier
43,2389120,Sangal,2.0,FAVBET,1.0,CCT Season 3 Europe Series 13,https://www.hltv.org/matches/2389120/sangal-vs-favbet-cct-season-3-europe-series-13
44,2389519,MOUZ NXT,0.0,illwill,2.0,CCT Season 3 Europe Series 14 Closed Qualifier,https://www.hltv.org/matches/2389519/mouz-nxt-vs-illwill-cct-season-3-europe-series-14-closed-qualifier
45,2389367,Rare Atom,1.0,JiJieHao,2.0,ZHI-TECH Elite Masters 2026,https://www.hltv.org/matches/2389367/rare-atom-vs-jijiehao-zhi-tech-elite-masters-2026
46,2389119,Nuclear TigeRES,2.0,Oramond,0.0,CCT Season 3 Europe Series 13,https://www.hltv.org/matches/2389119/nuclear-tigeres-vs-oramond-cct-season-3-europe-series-13
47,2389366,Morningstar,2.0,The Huns,0.0,ZHI-TECH Elite Masters 2026,https://www.hltv.org/matches/2389366/morningstar-vs-the-huns-zhi-tech-elite-masters-2026
48,2388921,9INE,2.0,Nuclear TigeRES,1.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388921/9ine-vs-nuclear-tigeres-iem-rio-2026-closed-qualifier
49,2388936,RED Canids,2.0,BESTIA,0.0,IEM Rio 2026 Americas Closed Qualifier,https://www.hltv.org/matches/2388936/red-canids-vs-bestia-iem-rio-2026-americas-closed-qualifier
50,2389276,HEROIC,1.0,FURIA,2.0,BLAST Bounty 2026 Season 1 Finals,https://www.hltv.org/matches/2389276/heroic-vs-furia-blast-bounty-2026-season-1-finals
51,2389118,AM,0.0,1win,2.0,CCT Season 3 Europe Series 13,https://www.hltv.org/matches/2389118/am-vs-1win-cct-season-3-europe-series-13
52,2388920,Gentle Mates,2.0,Nemesis,0.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388920/gentle-mates-vs-nemesis-iem-rio-2026-closed-qualifier
53,2388935,ODDIK,0.0,Imperial,2.0,IEM Rio 2026 Americas Closed Qualifier,https://www.hltv.org/matches/2388935/oddik-vs-imperial-iem-rio-2026-americas-closed-qualifier
54,2388919,EYEBALLERS,1.0,Nuclear TigeRES,2.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388919/eyeballers-vs-nuclear-tigeres-iem-rio-2026-closed-qualifier
55,2388917,HOTU,2.0,9INE,0.0,IEM Rio 2026 Closed Qualifier,https://www.hltv.org/matches/2388917/hotu-vs-9ine-iem-rio-2026-closed-qualifier
56,2389275,Liquid,0.0,Falcons,2.0,BLAST Bounty 2026 Season 1 Finals,https://www.hltv.org/matches/2389275/liquid-vs-falcons-blast-bounty-2026-season-1-finals
