k,d,ek,ed,roundSwing,adr,eadr,kast,ekast,rating,playerID,side,team,map,matchID
11.0,7.0,11.0,8.0,11.89,96.4,92.4,60.0,59.7,1.75,12018,ct,Falcons,mrg,2389281
10.0,7.0,11.0,7.0,3.66,100.5,103.4,90.0,90.7,1.52,3741,ct,Falcons,mrg,2389281
6.0,8.0,5.0,9.0,-3.96,80.2,72.8,90.0,91.7,0.85,19230,ct,Falcons,mrg,2389281
6.0,8.0,6.0,8.0,-3.71,67.5,66.2,80.0,79.7,0.81,19677,ct,Falcons,mrg,2389281
1.0,7.0,1.0,7.0,-9.29,18.1,18.5,50.0,46.7,0.34,25432,ct,Falcons,mrg,2389281
9.0,9.0,10.0,9.0,0.38,69.5,74.3,58.3,69.0,1.11,19230,t,Falcons,mrg,2389281
9.0,9.0,8.0,8.0,-4.0,78.8,78.8,50.0,44.9,0.93,25432,t,Falcons,mrg,2389281
6.0,8.0,6.0,7.0,-0.39,47.3,46.4,66.7,62.7,0.82,3741,t,Falcons,mrg,2389281
6.0,9.0,7.0,8.0,-5.49,56.2,60.5,58.3,62.7,0.81,19677,t,Falcons,mrg,2389281
4.0,10.0,4.0,10.0,-3.45,69.0,69.0,66.7,69.2,0.64,12018,t,Falcons,mrg,2389281
23.0,11.0,24.0,12.0,6.57,105.5,103.1,86.4,82.4,1.8,22929,total,PARIVISION,mrg,2389281
12.0,11.0,10.0,12.0,3.81,59.9,54.1,68.2,61.0,1.13,13776,total,PARIVISION,mrg,2389281
17.0,15.0,15.0,15.0,-2.28,82.3,76.9,81.8,86.6,1.04,23685,total,PARIVISION,mrg,2389281
10.0,14.0,11.0,14.0,1.11,53.6,57.5,72.7,73.2,1.02,19235,total,PARIVISION,mrg,2389281
20.0,17.0,19.0,18.0,-1.51,83.9,78.0,68.2,57.0,0.97,22471,total,PARIVISION,mrg,2389281
10.0,4.0,8.0,4.0,13.04,87.0,79.6,75.0,63.3,1.71,13776,ct,PARIVISION,mrg,2389281
11.0,6.0,11.0,7.0,6.7,96.2,87.7,75.0,63.4,1.49,22929,ct,PARIVISION,mrg,2389281
12.0,10.0,10.0,11.0,-2.43,97.1,87.5,50.0,46.3,0.96,22471,ct,PARIVISION,mrg,2389281
8.0,7.0,7.0,7.0,-3.03,73.0,71.5,66.7,76.2,0.88,23685,ct,PARIVISION,mrg,2389281
4.0,7.0,4.0,7.0,-1.33,39.2,39.9,75.0,72.1,0.8,19235,ct,PARIVISION,mrg,2389281
12.0,5.0,13.0,5.0,6.41,116.6,121.7,100.0,105.1,2.16,22929,t,PARIVISION,mrg,2389281
6.0,7.0,6.0,6.0,4.04,70.9,78.7,70.0,74.5,1.27,19235,t,PARIVISION,mrg,2389281
9.0,8.0,7.0,8.0,-1.38,93.4,83.3,100.0,99.1,1.22,23685,t,PARIVISION,mrg,2389281
8.0,7.0,8.0,7.0,-0.39,68.0,66.6,90.0,69.7,0.98,22471,t,PARIVISION,mrg,2389281
2.0,7.0,2.0,7.0,-7.26,27.3,23.4,60.0,58.2,0.44,13776,t,PARIVISION,mrg,2389281
15.0,13.0,18.0,13.0,3.99,76.5,85.3,79.2,68.1,1.35,12018,total,Falcons,d2,2389281
12.0,13.0,12.0,15.0,1.4,54.2,52.0,62.5,58.3,0.95,19230,total,Falcons,d2,2389281
14.0,16.0,13.0,16.0,-3.44,65.2,62.4,70.8,71.7,0.87,19677,total,Falcons,d2,2389281
14.0,15.0,13.0,15.0,-2.73,61.2,57.2,79.2,67.5,0.85,3741,total,Falcons,d2,2389281
8.0,17.0,8.0,18.0,-5.59,52.2,52.1,70.8,64.5,0.62,25432,total,Falcons,d2,2389281
8.0,6.0,9.0,7.0,6.07,66.0,64.8,66.7,58.0,1.26,19230,ct,Falcons,d2,2389281
5.0,6.0,7.0,6.0,1.92,65.9,78.0,83.3,61.7,1.07,12018,ct,Falcons,d2,2389281
8.0,11.0,7.0,11.0,-8.51,88.8,81.8,58.3,56.9,0.61,19677,ct,Falcons,d2,2389281
9.0,8.0,8.0,8.0,-6.7,55.4,48.4,75.0,49.9,0.59,3741,ct,Falcons,d2,2389281
3.0,10.0,3.0,10.0,-8.84,42.2,40.2,75.0,68.3,0.41,25432,ct,Falcons,d2,2389281
10.0,7.0,11.0,7.0,6.06,87.0,92.7,75.0,74.5,1.62,12018,t,Falcons,d2,2389281
6.0,5.0,6.0,5.0,1.62,41.5,43.1,83.3,86.5,1.13,19677,t,Falcons,d2,2389281
5.0,7.0,5.0,7.0,1.25,67.1,66.0,83.3,85.0,1.1,3741,t,Falcons,d2,2389281
5.0,7.0,5.0,8.0,-2.34,62.2,63.9,66.7,60.7,0.84,25432,t,Falcons,d2,2389281
4.0,7.0,4.0,8.0,-3.28,42.5,39.2,58.3,58.6,0.64,19230,t,Falcons,d2,2389281
19.0,10.0,20.0,9.0,4.76,81.6,82.3,91.7,78.8,1.47,23685,total,PARIVISION,d2,2389281
16.0,11.0,16.0,12.0,5.73,67.2,68.0,70.8,55.4,1.28,22929,total,PARIVISION,d2,2389281
14.0,9.0,12.0,11.0,1.0,56.8,51.1,79.2,66.3,0.99,13776,total,PARIVISION,d2,2389281
12.0,16.0,12.0,16.0,-1.25,63.2,64.2,66.7,64.0,0.84,22471,total,PARIVISION,d2,2389281
13.0,17.0,14.0,18.0,-3.86,53.4,56.4,75.0,68.8,0.78,19235,total,PARIVISION,d2,2389281
9.0,4.0,10.0,4.0,0.96,70.2,69.5,100.0,73.8,1.13,23685,ct,PARIVISION,d2,2389281
8.0,5.0,7.0,7.0,2.68,63.9,61.9,83.3,60.3,1.05,13776,ct,PARIVISION,d2,2389281
6.0,5.0,7.0,6.0,3.91,55.5,57.7,66.7,35.7,0.99,22929,ct,PARIVISION,d2,2389281
4.0,8.0,4.0,8.0,-3.62,53.1,58.8,66.7,60.7,0.64,22471,ct,PARIVISION,d2,2389281
6.0,8.0,7.0,9.0,-7.25,57.3,59.9,66.7,62.6,0.62,19235,ct,PARIVISION,d2,2389281
10.0,6.0,11.0,5.0,8.56,93.0,95.1,83.3,83.7,1.81,23685,t,PARIVISION,d2,2389281
10.0,6.0,10.0,6.0,7.55,78.8,78.4,75.0,75.1,1.57,22929,t,PARIVISION,d2,2389281
8.0,8.0,7.0,8.0,1.13,73.2,69.6,66.7,67.3,1.04,22471,t,PARIVISION,d2,2389281
7.0,9.0,7.0,10.0,-0.48,49.5,52.9,83.3,74.9,0.94,19235,t,PARIVISION,d2,2389281
6.0,4.0,5.0,4.0,-0.69,49.6,40.3,75.0,72.3,0.93,13776,t,PARIVISION,d2,2389281
19.0,14.0,20.0,14.0,3.59,85.2,83.8,66.7,70.8,1.4,3741,total,Falcons,inf,2389281
17.0,16.0,18.0,17.0,4.32,73.6,75.8,79.2,72.2,1.22,19677,total,Falcons,inf,2389281
7.0,13.0,8.0,13.0,-2.39,50.5,53.4,70.8,66.3,0.79,12018,total,Falcons,inf,2389281
13.0,15.0,13.0,16.0,-4.14,51.5,51.7,70.8,70.9,0.78,19230,total,Falcons,inf,2389281
11.0,20.0,12.0,20.0,-3.61,45.1,45.8,62.5,50.8,0.66,25432,total,Falcons,inf,2389281
15.0,6.0,15.0,6.0,9.33,126.3,120.3,66.7,67.3,1.95,3741,ct,Falcons,inf,2389281
10.0,8.0,10.0,9.0,4.58,90.4,88.0,83.3,65.1,1.23,19677,ct,Falcons,inf,2389281
7.0,9.0,8.0,10.0,-4.2,67.4,67.1,75.0,57.2,0.74,25432,ct,Falcons,inf,2389281
3.0,6.0,3.0,7.0,-5.07,35.9,37.2,66.7,53.2,0.57,12018,ct,Falcons,inf,2389281
4.0,7.0,4.0,9.0,-5.45,34.9,35.8,66.7,62.3,0.53,19230,ct,Falcons,inf,2389281
7.0,8.0,8.0,8.0,4.07,56.8,63.6,75.0,79.3,1.21,19677,t,Falcons,inf,2389281
9.0,8.0,9.0,7.0,-2.83,68.2,67.5,75.0,79.5,1.03,19230,t,Falcons,inf,2389281
4.0,7.0,4.0,7.0,0.29,65.1,69.6,75.0,79.4,1.01,12018,t,Falcons,inf,2389281
4.0,8.0,4.0,8.0,-2.15,44.1,47.3,66.7,74.3,0.84,3741,t,Falcons,inf,2389281
4.0,11.0,5.0,10.0,-3.02,22.8,24.5,50.0,44.4,0.57,25432,t,Falcons,inf,2389281
21.0,14.0,21.0,15.0,4.27,104.6,103.0,87.5,83.6,1.51,22929,total,PARIVISION,inf,2389281
17.0,11.0,18.0,11.0,2.82,65.8,70.8,91.7,79.9,1.37,22471,total,PARIVISION,inf,2389281
16.0,9.0,13.0,10.0,0.42,50.8,45.5,79.2,66.7,1.0,13776,total,PARIVISION,inf,2389281
14.0,17.0,15.0,19.0,-0.47,70.4,73.6,75.0,70.7,0.99,23685,total,PARIVISION,inf,2389281
10.0,16.0,10.0,16.0,-4.8,61.4,63.7,70.8,67.6,0.72,19235,total,PARIVISION,inf,2389281
11.0,7.0,11.0,8.0,3.11,118.2,109.5,91.7,81.2,1.39,22929,ct,PARIVISION,inf,2389281
12.0,3.0,10.0,4.0,4.56,72.8,62.6,91.7,64.5,1.27,13776,ct,PARIVISION,inf,2389281
8.0,8.0,9.0,10.0,0.65,72.0,73.4,83.3,72.0,1.03,23685,ct,PARIVISION,inf,2389281
8.0,7.0,8.0,8.0,-4.19,84.4,84.8,75.0,64.2,0.89,19235,ct,PARIVISION,inf,2389281
3.0,3.0,3.0,3.0,-0.47,29.8,28.3,100.0,72.9,0.78,22471,ct,PARIVISION,inf,2389281
14.0,8.0,16.0,8.0,6.11,101.8,113.4,83.3,86.9,1.96,22471,t,PARIVISION,inf,2389281
10.0,7.0,10.0,7.0,5.44,91.0,96.5,83.3,86.0,1.63,22929,t,PARIVISION,inf,2389281
6.0,9.0,7.0,9.0,-1.6,68.8,73.8,66.7,69.4,0.95,23685,t,PARIVISION,inf,2389281
4.0,6.0,4.0,7.0,-3.72,28.8,28.3,66.7,68.9,0.73,13776,t,PARIVISION,inf,2389281
2.0,9.0,2.0,9.0,-5.41,38.4,42.7,66.7,71.0,0.54,19235,t,PARIVISION,inf,2389281
34.0,20.0,35.0,20.0,3.51,91.3,90.9,92.7,88.9,1.49,23319,total,Nemiga,All,2389203
39.0,24.0,39.0,26.0,2.3,87.7,84.4,78.0,72.8,1.4,19920,total,Nemiga,All,2389203
33.0,26.0,33.0,28.0,2.59,77.3,78.5,73.2,83.1,1.26,22460,total,Nemiga,All,2389203
25.0,29.0,26.0,31.0,0.42,74.2,74.5,85.4,84.0,1.07,22325,total,Nemiga,All,2389203
28.0,24.0,23.0,26.0,0.34,78.6,72.0,78.0,74.3,1.05,23317,total,Nemiga,All,2389203
