fantasyid,teamid,playerid,team,player,cost,avg_rating,n_games,avg_rating_vs_G2,avg_rating_vs_Aurora,avg_rating_vs_Liquid,avg_rating_vs_3DMAX,avg_rating_vs_Astralis,avg_rating_vs_paiN,avg_rating_vs_Passion UA,avg_rating_vs_B8,avg_rating_vs_PARIVISION,avg_rating_vs_Legacy,avg_rating_vs_GamerLegion,avg_rating_vs_HEROIC,avg_rating_vs_FUT,avg_rating_vs_Ninjas in Pyjamas,avg_rating_vs_NRG,avg_rating_vs_BC.Game
591,4411,23372,Ninjas in Pyjamas,xkacpersky,194,1.284,16,,,1.100,0.930,1.510,,,,0.800,,,,,,1.010,
591,4411,24283,Ninjas in Pyjamas,cairne,195,1.277,11,,,0.970,,,,,,,,,,1.090,,,
591,6673,7687,NRG,nitr0,173,1.015,13,,,,,,,,,,,1.110,,,,,
591,6673,8711,NRG,sonic,184,1.148,18,,,,,,,,,,,1.110,,,1.470,,
591,6673,13249,NRG,osee,188,1.128,8,,,,,,,,,,,1.030,,,,,
591,6673,16717,NRG,br0,183,1.180,18,,,,,,,,,,,1.140,,,1.410,,
591,6673,20333,NRG,jeorge,178,1.099,18,,,,,,,,,,,1.590,,,1.340,,
591,12878,630,BC.Game,mutiris,178,1.032,18,,0.980,1.240,,,,,,,0.730,0.835,,,0.955,0.820,
591,12878,7998,BC.Game,s1mple,195,1.105,10,,,,,,,,,1.030,,,,,,,
591,12878,8918,BC.Game,electronic,180,1.081,10,,,,,,,,,0.960,,,,,,,
591,12878,22807,BC.Game,aragornn,186,1.096,18,,1.060,1.160,,,,,,,1.080,1.295,,,0.845,1.170,
591,12878,23140,BC.Game,krazy,180,1.010,18,,0.910,0.970,,,,,,,0.810,0.840,,,1.100,0.910,
