match_id,team1,score1,team2,score2,event,link
2388156,Mousquetaires,0,Leo,2,NODWIN Clutch Series 3 Closed Qualifier,https://www.hltv.org/matches/2388156/mousquetaires-vs-leo-nodwin-clutch-series-3-closed-qualifier
2388253,Zero Tenacity,0,RUBY,2,JB Pro League Season 1,https://www.hltv.org/matches/2388253/zero-tenacity-vs-ruby-jb-pro-league-season-1
2387827,Venom,0,Oramond,2,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387827/venom-vs-oramond-cct-season-3-europe-series-11
2388166,Tricked,13,ASTRAL,8,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388166/tricked-vs-astral-digital-crusade-draculan-season-3
2388163,GenOne,13,Strael Bora,3,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388163/genone-vs-strael-bora-digital-crusade-draculan-season-3
2388165,Phantom,0,Haemus,1,Digital Crusade DraculaN Season 3,https://www.hltv.org/matches/2388165/phantom-vs-haemus-digital-crusade-draculan-season-3
2388221,BESTIA,1,Gaimin Gladiators,2,ESL Challenger League Season 50 South America Finals,https://www.hltv.org/matches/2388221/bestia-vs-gaimin-gladiators-esl-challenger-league-season-50-south-america-finals
2387826,Betera,1,JiJieHao,2,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387826/betera-vs-jijiehao-cct-season-3-europe-series-11
2387462,CYBERSHOKE,0,SPARTA,2,Galaxy Battle 2025 Phase 5,https://www.hltv.org/matches/2387462/cybershoke-vs-sparta-galaxy-battle-2025-phase-5
2388218,SINNERS,2,Friendly Campers,0,ESL Challenger League Season 50 Europe Finals,https://www.hltv.org/matches/2388218/sinners-vs-friendly-campers-esl-challenger-league-season-50-europe-finals
2388215,Lynn Vision,2,Chinggis Warriors,0,ESL Challenger League Season 50 Asia-Pacific Finals,https://www.hltv.org/matches/2388215/lynn-vision-vs-chinggis-warriors-esl-challenger-league-season-50-asia-pacific-finals
2387824,500,2,ECLOT,1,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387824/500-vs-eclot-cct-season-3-europe-series-11
2387461,Oramond,1,NOVAQ,0,Galaxy Battle 2025 Phase 5,https://www.hltv.org/matches/2387461/oramond-vs-novaq-galaxy-battle-2025-phase-5
2388275,SPARTA,2,CSDIILIT,0,NODWIN Clutch Series 3 Closed Qualifier,https://www.hltv.org/matches/2388275/sparta-vs-csdiilit-nodwin-clutch-series-3-closed-qualifier
2387823,CPH Wolves,0,Nuclear TigeRES,2,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387823/cph-wolves-vs-nuclear-tigeres-cct-season-3-europe-series-11
2388217,PARIVISION,2,BC.Game,0,ESL Challenger League Season 50 Europe Finals,https://www.hltv.org/matches/2388217/parivision-vs-bcgame-esl-challenger-league-season-50-europe-finals
2387459,33,0,500,2,Galaxy Battle 2025 Phase 5,https://www.hltv.org/matches/2387459/33-vs-500-galaxy-battle-2025-phase-5
2387822,Betera,1,Leo,2,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387822/betera-vs-leo-cct-season-3-europe-series-11
2388248,SPARTA,0,MOUZ NXT,2,NODWIN Clutch Series 3 Closed Qualifier,https://www.hltv.org/matches/2388248/sparta-vs-mouz-nxt-nodwin-clutch-series-3-closed-qualifier
2387821,JiJieHao,0,K27,2,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387821/jijiehao-vs-k27-cct-season-3-europe-series-11
2387457,ECLOT,2,Sangal,1,Galaxy Battle 2025 Phase 5,https://www.hltv.org/matches/2387457/eclot-vs-sangal-galaxy-battle-2025-phase-5
2387819,500,2,RUBY,0,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387819/500-vs-ruby-cct-season-3-europe-series-11
2387818,FAVBET,0,ECLOT,2,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387818/favbet-vs-eclot-cct-season-3-europe-series-11
2388154,Dziuseppe,0,MOUZ NXT,1,NODWIN Clutch Series 3 Closed Qualifier,https://www.hltv.org/matches/2388154/dziuseppe-vs-mouz-nxt-nodwin-clutch-series-3-closed-qualifier
2388153,SPARTA,2,CSDIILIT,0,NODWIN Clutch Series 3 Closed Qualifier,https://www.hltv.org/matches/2388153/sparta-vs-csdiilit-nodwin-clutch-series-3-closed-qualifier
2388028,Rave,2,Voca,1,PrizePicks NA Revival Series 11,https://www.hltv.org/matches/2388028/rave-vs-voca-prizepicks-na-revival-series-11
2388005,Sharks,3,Keyd Stars,0,CBCS Masters Xeque Mate 2025 Finals,https://www.hltv.org/matches/2388005/sharks-vs-keyd-stars-cbcs-masters-xeque-mate-2025-finals
2388027,Voca,2,Marsborne,0,PrizePicks NA Revival Series 11,https://www.hltv.org/matches/2388027/voca-vs-marsborne-prizepicks-na-revival-series-11
2387463,Partizan,0,ARCRED,1,Galaxy Battle 2025 Phase 5,https://www.hltv.org/matches/2387463/partizan-vs-arcred-galaxy-battle-2025-phase-5
2387455,JiJieHao,1,AaB,2,Galaxy Battle 2025 Phase 5,https://www.hltv.org/matches/2387455/jijiehao-vs-aab-galaxy-battle-2025-phase-5
2387233,SINNERS,2,Monte,0,ESL Challenger League Season 50 Europe Cup 4,https://www.hltv.org/matches/2387233/sinners-vs-monte-esl-challenger-league-season-50-europe-cup-4
2387817,CYBERSHOKE,2,CPH Wolves,0,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387817/cybershoke-vs-cph-wolves-cct-season-3-europe-series-11
2388026,BOSS,0,Rave,2,PrizePicks NA Revival Series 11,https://www.hltv.org/matches/2388026/boss-vs-rave-prizepicks-na-revival-series-11
2387454,ARCRED,1,Sangal,2,Galaxy Battle 2025 Phase 5,https://www.hltv.org/matches/2387454/arcred-vs-sangal-galaxy-battle-2025-phase-5
2387816,Betera,1,Oramond,2,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387816/betera-vs-oramond-cct-season-3-europe-series-11
2388011,FURIA fe,0,MIBR fe,2,FERJEE Rainhas do Clutch 2025 Finals,https://www.hltv.org/matches/2388011/furia-fe-vs-mibr-fe-ferjee-rainhas-do-clutch-2025-finals
2387815,FAVBET,0,Nuclear TigeRES,2,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387815/favbet-vs-nuclear-tigeres-cct-season-3-europe-series-11
2387550,FURIA,3,Falcons,1,BLAST Rivals 2025 Season 2,https://www.hltv.org/matches/2387550/furia-vs-falcons-blast-rivals-2025-season-2
2387814,Partizan,0,K27,2,CCT Season 3 Europe Series 11,https://www.hltv.org/matches/2387814/partizan-vs-k27-cct-season-3-europe-series-11
2387850,Rare Atom,1,Lynn Vision,2,Perfect World CS Challenge Series 2,https://www.hltv.org/matches/2387850/rare-atom-vs-lynn-vision-perfect-world-cs-challenge-series-2
2387849,Gentle Mates,2,9INE,0,Perfect World CS Challenge Series 2,https://www.hltv.org/matches/2387849/gentle-mates-vs-9ine-perfect-world-cs-challenge-series-2
2387319,Rave,2,Marsborne,0,ESL Challenger League Season 50 North America Cup 4,https://www.hltv.org/matches/2387319/rave-vs-marsborne-esl-challenger-league-season-50-north-america-cup-4
2387277,Sharks,0,9z,2,ESL Challenger League Season 50 South America Cup 4,https://www.hltv.org/matches/2387277/sharks-vs-9z-esl-challenger-league-season-50-south-america-cup-4
2388025,Marsborne,2,Zomblers,0,PrizePicks NA Revival Series 11,https://www.hltv.org/matches/2388025/marsborne-vs-zomblers-prizepicks-na-revival-series-11
2388024,Voca,2,Phoenix,0,PrizePicks NA Revival Series 11,https://www.hltv.org/matches/2388024/voca-vs-phoenix-prizepicks-na-revival-series-11
2388003,Keyd Stars,2,Bounty Hunters,0,CBCS Masters Xeque Mate 2025 Finals,https://www.hltv.org/matches/2388003/keyd-stars-vs-bounty-hunters-cbcs-masters-xeque-mate-2025-finals
2388023,Rave,2,Sakura,0,PrizePicks NA Revival Series 11,https://www.hltv.org/matches/2388023/rave-vs-sakura-prizepicks-na-revival-series-11
2387232,Monte,2,Venom,1,ESL Challenger League Season 50 Europe Cup 4,https://www.hltv.org/matches/2387232/monte-vs-venom-esl-challenger-league-season-50-europe-cup-4
2387691,9z,0,BESTIA,1,CCT Season 3 South America Series 6,https://www.hltv.org/matches/2387691/9z-vs-bestia-cct-season-3-south-america-series-6
