team_name,points,team_id
Mousquetaires,837,13251
Bebop,837,13613
Yawara,834,11933
Rooster,834,9881
AMKAL,829,12586
9BOOMPRO,825,13380
Tricked,822,4602
Imperial Valkyries,820,12828
BASEMENT BOYS,819,13181
Sakura,818,13531
Change The Game,816,13175
VP.Prodigy,815,10864
ENCE Academy,814,11790
CSDIILIT,804,13340
Ground Zero,801,8536
MASONIC,793,10867
BORING PLAYERS,792,12948
Rebels,791,12642
Betclic,790,12916
Bushido Wildcats,789,13281
Impulse GW,781,13266
Let Her Cook,776,12421
Eruption,775,12097
Last Bullet,775,13433
Eternal Fire,768,11251
Famalicão,768,13364
AaB,767,9621
KRÜ,764,10900
HyperSpirit,764,13012
Procyon,763,10997
Phantom,759,13173
Just Swing,758,13053
QWENTRY,758,13510
Oxuji,753,13553
Dziuseppe,752,13465
FlyQuest RED,751,12301
regain,748,12554
Rooster,743,9881
LAG,742,11955
Universe,742,13618
Partizan,733,11838
Ursa,729,13231
OverKnight,729,10901
Mythic,722,5479
BRUTE,718,9139
SportsBetExpert,714,13375
STATE,711,13623
Washington,711,13483
Underground,705,12707
FOLHA AMARELA,703,13475
The QUBE,702,12825
Phoenix,697,12909
KHAN,694,11175
Zomblers,691,12164
BIG,690,7532
NomadS,690,12900
Fingers Crossed fe,685,13516
ComeBack,684,13506
Flame Sharks fe,683,13406
InControl,682,7720
Nemesis Impact,679,13405
Players,675,11711
ALLINNERS,674,12812
EC BANGA,668,12568
8Sins,668,13024
LP,668,13304
Peekaboo,666,13393
Four Magic fe,665,13451
Akimbo,659,12567
Young Ninjas,659,10960
m1x,658,7376
thekillaz fe,658,12912
Legion,654,10287
Fuego,652,13511
Getting Info,651,13106
GATERON,650,13102
FACEITPLAYERS,650,13441
888aura,648,13383
LITE,647,13542
Curralzinho,640,13417
Aether,637,12908
hindsight,637,13395
Black Mold,634,13143
LAG,631,11955
Ghost,626,7801
ScarX,624,13217
Nocturnal,622,13398
HubaBuba,619,13453
wwaves,618,13381
AKA HERO KAJO,615,13142
Tricked,615,4602
Money Crew,613,13469
Underground,609,12707
Dusty Roses,608,13412
Lotus fe,606,12702
IHC,605,11585
Vantage,602,12455
Outfit 49,602,13294
Lilmix,595,9735
TSG,589,13328
Square Sausages,587,13434
GameHunters,585,12988
CALAOSCORNOS,579,13556
F5,578,13201
G2 Ares,577,12889
MANA,574,13310
Take Flyte,571,11660
VRSoholics,569,13485
Crashers,568,6788
Straight2Killin,566,13180
FUT Academy,566,13474
Pulse,565,13559
THE,562,12955
Reign Above,562,13425
Prison Breakers,557,13512
SINQU,554,13571
Passion UA,553,12426
777,553,10943
The Glecs,549,13369
ex-HEROIC Academy,547,13431
The Glecs,546,13369
Haemus,543,13545
Vasco,543,13413
japczany,542,13614
Four Magic,534,13520
Betclic,534,12916
BBBMBCBS,533,11109
R2,527,13327
FURY,526,10299
SENZA,525,13352
Wanted Goons,524,12971
NuTorious,523,12973
Fingers Crossed,522,13466
Wildcard Academy,522,13127
Aether,519,12908
paiN Academy,518,11905
KZG,512,12152
amateurs,510,13515
Chinggis Warriors,508,12646
IHC,507,11585
CAPIVARAS,505,12463
Players,505,11711
Animus Victoria,502,13316
aimclub,500,6810
Little Bocks,498,11497
ex-TALON,497,13212
Timewaves,494,13543
Arise,491,13502
ECLOT,486,7441
Keyd Stars,485,6033
NYX,484,13397
Arrival Seven,484,13353
MIBR Academy,479,3044
anything else,477,13206
Falcons Force,456,13321
Memeories,433,13534
ex-Inner Circle,409,13459
GLORE,408,11988
MIGHT,395,12483
MAGICOS,386,13265
JERSA,374,13302
