name,points,teamID
WW,889,12967
HEROIC Academy,885,13233
CPH Wolves,883,4548
WHITEBIRD,878,13583
Partizan,876,11838
Bebop,876,13613
Dusty Roots,874,12548
Mindfreak,874,11668
Keyd Stars,874,6033
Keyd Stars,869,6033
NIP Impact,868,11917
Prestige,867,13159
Eternal Fire,865,11251
Famalicão,863,13364
Eternal Fire,857,11251
FURIA fe,857,10976
THUNDER dOWNUNDER,856,13486
Lilmix,854,9735
Mousquetaires,852,13251
9z,849,9996
MASONIC,846,10867
AMKAL,843,12586
CSDIILIT,842,13340
Impulse GW,842,13266
Rooster,839,9881
ENCE Academy,838,11790
Sakura,834,13531
9BOOMPRO,825,13380
BRUTE,821,9139
ALLINNERS,818,12812
Ground Zero,814,8536
Change The Game,801,13175
Eruption,798,12097
VP.Prodigy,796,10864
BASEMENT BOYS,795,13181
HEROIC,794,7175
Pigeons,792,12721
Bushido Wildcats,787,13281
BORING PLAYERS,786,12948
Let Her Cook,784,12421
KRÜ,776,10900
HyperSpirit,774,13012
Last Bullet,771,13433
QWENTRY,768,13510
AaB,764,9621
FOLHA AMARELA,761,13475
Phantom,760,13173
Betclic,758,12916
FlyQuest RED,758,12301
Oxuji,757,13553
LP,757,13304
Dziuseppe,756,13465
Just Swing,754,13053
Rooster,751,9881
Washington,748,13483
MANA,743,13310
MIBR,743,9215
regain,743,12554
Procyon,740,10997
LAG,737,11955
aimclub,735,6810
Universe,732,13618
OverKnight,726,10901
Oruga,725,13627
Mythic,720,5479
Vasco,720,13413
SAW,717,10567
SportsBetExpert,713,13375
Underground,709,12707
The QUBE,702,12825
Partizan,698,11838
Players,697,11711
Phoenix,694,12909
ComeBack,690,13506
GameHunters,688,12988
Nemesis Impact,687,13405
Zomblers,687,12164
Flame Sharks fe,686,13406
Fingers Crossed fe,686,13516
EC BANGA,683,12568
NomadS,683,12900
KHAN,681,11175
InControl,679,7720
Four Magic fe,674,13451
8Sins,670,13024
Peekaboo,669,13393
ALLINNERS,667,12812
Young Ninjas,665,10960
thekillaz fe,660,12912
Legion,659,10287
888aura,656,13383
Akimbo,655,12567
m1x,652,7376
LITE,650,13542
GATERON,650,13102
Curralzinho,646,13417
FACEITPLAYERS,642,13441
Black Mold,641,13143
japczany,640,13614
Aether,638,12908
BIG Academy,634,10254
Ghost,634,7801
Getting Info,631,13106
Nocturnal,628,13398
hindsight,628,13395
wwaves,625,13381
AKA HERO KAJO,625,13142
ScarX,625,13217
LAG,620,11955
Dusty Roses,618,13412
Underground,616,12707
Money Crew,614,13469
Lotus fe,614,12702
Vantage,610,12455
IHC,610,11585
SINQU,609,13571
777,608,10943
Outfit 49,601,13294
G2 Ares,600,12889
Bad Luck,591,13342
Tricked,590,4602
CALAOSCORNOS,584,13556
Fuego,583,13511
GameHunters,582,12988
Prison Breakers,580,13512
TSG,578,13328
Four Magic,576,13520
Crashers,576,6788
F5,568,13201
Take Flyte,566,11660
Straight2Killin,563,13180
rottweilers,562,13643
Pulse,561,13559
BIG,560,7532
THE,557,12955
FUT Academy,556,13474
VRSoholics,555,13485
Reign Above,555,13425
ex-HEROIC Academy,542,13431
The Glecs,541,13369
INFINITE,540,10823
Passion UA,537,12426
Fingers Crossed,534,13466
BBBMBCBS,531,11109
HubaBuba,530,13453
Betclic,530,12916
The Glecs,529,13369
R2,528,13327
Wildcard Academy,527,13127
FURY,526,10299
NuTorious,522,12973
Wanted Goons,521,12971
Square Sausages,518,13434
Aether,517,12908
amateurs,517,13515
CAPIVARAS,514,12463
KZG,511,12152
Little Bocks,508,11497
Players,508,11711
SENZA,508,13352
Animus Victoria,505,13316
IHC,504,11585
Arise,499,13502
paiN Academy,498,11905
ex-TALON,494,13212
Chinggis Warriors,494,12646
MIBR Academy,492,3044
Timewaves,489,13543
NYX,488,13397
Keyd Stars,487,6033
ECLOT,483,7441
anything else,480,13206
EXSAD,457,13047
Falcons Force,453,13321
Memeories,429,13534
GLORE,407,11988
ex-Inner Circle,407,13459
HereWeGoAgain,406,13629
MAGICOS,403,13265
MAGICOS,398,13265
MIGHT,397,12483
Charrados,390,13519
Arrival Seven,387,13353
ELITES,344,13624
