matchid,playerid,teamid,mapid,sideid,k,d,ek,ed,roundswing,adr,eadr,kast,ekast,rating
2388915,8371,13404,0,2,14.0,16.0,13.0,15.0,-0.59,85.8,85.4,78.9,78.6,1.03
2388915,21239,13404,0,2,12.0,14.0,13.0,13.0,-4.06,57.2,61.2,63.2,69.9,0.94
2388915,22481,11609,0,0,33.0,30.0,31.0,30.0,2.13,82.7,84.9,66.7,73.7,1.2
2388915,14176,11609,0,0,27.0,31.0,27.0,33.0,-1.86,80.9,80.8,76.9,69.5,0.94
2388915,19738,11609,0,0,22.0,31.0,23.0,30.0,-1.35,61.2,63.4,53.8,53.4,0.82
2388915,21971,11609,0,0,16.0,32.0,17.0,31.0,-5.26,51.0,53.8,59.0,59.0,0.62
2388915,7168,11609,0,0,17.0,35.0,15.0,36.0,-6.79,63.0,58.3,56.4,55.5,0.57
2388915,22481,11609,0,1,23.0,12.0,20.0,13.0,2.55,102.5,99.7,84.2,83.9,1.43
2388915,14176,11609,0,1,18.0,13.0,17.0,16.0,1.16,107.2,103.2,94.7,82.7,1.26
2388915,7168,11609,0,1,14.0,15.0,12.0,17.0,-2.62,107.2,99.3,89.5,82.8,0.98
2388915,21971,11609,0,1,8.0,12.0,9.0,12.0,-3.58,50.6,53.5,78.9,71.2,0.75
2388915,19738,11609,0,1,11.0,14.0,11.0,15.0,-2.96,54.8,54.3,68.4,66.6,0.74
2388915,22481,11609,0,2,10.0,18.0,11.0,16.0,1.73,64.0,70.9,50.0,64.0,0.99
2388915,19738,11609,0,2,11.0,17.0,13.0,15.0,0.18,67.2,72.0,40.0,40.8,0.89
2388915,14176,11609,0,2,9.0,18.0,9.0,16.0,-4.74,56.0,59.4,60.0,56.9,0.63
2388915,21971,11609,0,2,8.0,20.0,8.0,18.0,-6.87,51.4,54.1,40.0,47.4,0.5
2388915,7168,11609,0,2,3.0,20.0,3.0,19.0,-10.76,20.9,19.4,25.0,29.6,0.18
2388915,9254,13404,3,0,18.0,10.0,18.0,10.0,11.77,115.2,107.7,89.5,89.3,1.98
2388915,8371,13404,3,0,19.0,10.0,17.0,11.0,4.25,95.9,88.0,89.5,88.6,1.44
2388915,19509,13404,3,0,18.0,10.0,20.0,11.0,-0.39,90.7,97.5,100.0,97.7,1.44
2388915,18749,13404,3,0,16.0,11.0,16.0,11.0,3.71,90.0,85.9,84.2,76.4,1.4
2388915,21239,13404,3,0,9.0,10.0,8.0,10.0,-2.65,44.7,44.1,68.4,71.5,0.83
2388915,9254,13404,3,1,13.0,4.0,13.0,4.0,13.8,122.8,114.8,91.7,92.0,2.25
2388915,18749,13404,3,1,14.0,7.0,13.0,7.0,6.93,109.8,102.6,83.3,71.7,1.68
2388915,19509,13404,3,1,12.0,5.0,13.0,6.0,0.06,93.5,97.7,100.0,93.6,1.47
2388915,8371,13404,3,1,10.0,4.0,8.0,5.0,2.89,82.2,73.7,83.3,78.6,1.26
2388915,21239,13404,3,1,5.0,6.0,5.0,7.0,-3.81,46.2,45.9,75.0,81.8,0.77
2388915,8371,13404,3,2,9.0,6.0,8.0,6.0,6.59,119.3,112.7,100.0,105.8,1.75
2388915,9254,13404,3,2,5.0,6.0,5.0,6.0,8.29,102.1,95.4,85.7,84.7,1.51
2388915,19509,13404,3,2,6.0,5.0,7.0,5.0,-1.17,85.9,97.2,100.0,104.8,1.39
2388915,21239,13404,3,2,4.0,4.0,4.0,3.0,-0.66,42.1,40.9,57.1,53.7,0.93
2388915,18749,13404,3,2,2.0,4.0,2.0,4.0,-1.81,56.1,57.1,85.7,84.4,0.93
2388915,22481,11609,3,0,12.0,15.0,11.0,15.0,1.73,61.2,63.2,63.2,73.9,0.98
2388915,14176,11609,3,0,12.0,16.0,12.0,17.0,-3.3,84.1,82.2,78.9,71.9,0.89
2388915,19738,11609,3,0,11.0,14.0,12.0,13.0,-0.54,58.4,60.9,52.6,49.1,0.88
2388915,21971,11609,3,0,9.0,17.0,10.0,17.0,-5.78,57.4,60.6,52.6,50.9,0.62
2388915,7168,11609,3,0,6.0,18.0,5.0,18.0,-8.9,41.2,37.7,52.6,54.7,0.39
2388915,14176,11609,3,1,6.0,6.0,6.0,7.0,-2.36,138.3,134.5,100.0,95.9,1.23
2388915,22481,11609,3,1,7.0,5.0,5.0,5.0,1.21,76.1,70.9,71.4,64.7,0.96
2388915,19738,11609,3,1,4.0,4.0,4.0,4.0,-2.07,42.6,41.8,71.4,64.1,0.8
2388915,7168,11609,3,1,4.0,6.0,4.0,6.0,-4.5,70.1,65.9,85.7,79.5,0.74
2388915,21971,11609,3,1,3.0,5.0,3.0,5.0,-3.82,48.3,53.6,71.4,50.9,0.64
2388915,22481,11609,3,2,5.0,10.0,6.0,9.0,2.04,52.4,58.7,58.3,79.3,1.0
2388915,19738,11609,3,2,7.0,10.0,8.0,9.0,0.35,67.6,72.1,41.7,40.4,0.92
2388915,14176,11609,3,2,6.0,10.0,6.0,10.0,-3.85,52.5,51.8,66.7,58.0,0.7
2388915,21971,11609,3,2,6.0,12.0,6.0,12.0,-6.93,62.7,64.7,41.7,51.0,0.61
2388915,7168,11609,3,2,2.0,12.0,2.0,12.0,-11.48,24.3,21.3,33.3,40.3,0.18
2388915,19509,13404,5,0,16.0,11.0,17.0,10.0,6.92,88.4,93.2,85.0,84.0,1.63
2388915,8371,13404,5,0,19.0,14.0,18.0,14.0,1.56,99.9,95.9,80.0,73.5,1.39
2388915,9254,13404,5,0,15.0,13.0,13.0,13.0,3.02,72.5,69.1,85.0,86.0,1.22
2388915,21239,13404,5,0,17.0,13.0,16.0,13.0,-2.96,86.8,82.9,80.0,83.5,1.16
